step,critic/score/mean,actor/kl_loss,actor/entropy,response_length/mean,response_length/clip_ratio,response/aborted_ratio,training/num_turns/mean
55,0.44062504172325134,0.02905378617288079,0.4452137053012848,196.0,0.03125,0.0,2.0
56,0.3500000238418579,0.05068616756761912,0.5412984490394592,131.90625,0.03125,0.0,2.0
57,0.3812500238418579,0.03214149035920855,0.4356645941734314,195.25,0.03125,0.0,2.0
58,0.19062501192092896,0.02870123209140729,0.4011978805065155,203.28125,0.03125,0.0,2.0
59,0.21562500298023224,0.017908939349581487,0.40126046538352966,345.75,0.09375,0.0,2.0
60,0.10000000894069672,0.03866928722709417,0.6865487098693848,132.875,0.03125,0.0,2.0
61,0.53125,0.024730529286898673,0.32083189487457275,273.09375,0.0625,0.0,2.0
62,0.2562499940395355,0.05519468025886454,0.4902442693710327,109.0625,0.03125,0.0,2.0
63,0.3500000238418579,0.055575489313923754,0.6616837382316589,108.84375,0.03125,0.0,2.0
64,0.31874996423721313,0.04019509346107952,0.6722258925437927,161.625,0.03125,0.0,2.0
65,0.22500000894069672,0.058090001257369295,0.5644776225090027,102.5625,0.03125,0.0,2.0
66,0.15937501192092896,0.04408357705688104,0.338085800409317,155.1875,0.03125,0.0,2.0
67,0.13125000894069672,0.07533516269177198,0.6632570028305054,93.4375,0.03125,0.0,2.0
68,0.2875000238418579,0.0534586054563988,0.6016712188720703,123.71875,0.03125,0.0,2.0
69,0.0937500074505806,0.03543362545315176,0.5258519649505615,219.6875,0.0625,0.0,2.0
70,0.5968749523162842,0.038095471303677186,0.46312955021858215,174.4375,0.03125,0.0,2.0
71,0.1937500238418579,0.08858054323354736,0.6389801502227783,89.3125,0.03125,0.0,2.0
72,0.2250000238418579,0.07061785110272467,0.5198019742965698,97.34375,0.03125,0.0,2.0
73,0.22187501192092896,0.038566645329410676,0.35015758872032166,144.09375,0.03125,0.0,2.0
74,0.5031249523162842,0.037189708033110946,0.43235838413238525,183.0,0.03125,0.0,2.0
75,0.2187500298023224,0.04582432802999392,0.37863069772720337,175.90625,0.03125,0.0,2.0
76,0.2250000238418579,0.08656943816458806,0.6691463589668274,82.78125,0.03125,0.0,2.0
77,0.5062499642372131,0.08252330037066713,0.6331066489219666,84.3125,0.03125,0.0,2.0
78,0.40937498211860657,0.046360316569916904,0.38918501138687134,153.34375,0.03125,0.0,2.0
79,0.2250000238418579,0.0794499900075607,0.6846036314964294,81.40625,0.03125,0.0,2.0
80,0.38124996423721313,0.09274039755109698,0.5812287330627441,49.09375,0.03125,0.0,2.0
81,0.25312501192092896,0.10057425702689216,0.6632152795791626,61.96875,0.03125,0.0,2.0
82,0.3500000238418579,0.07620462201884948,0.5960769653320312,90.46875,0.03125,0.0,2.0
83,0.2250000238418579,0.07910175004508346,0.7343151569366455,93.3125,0.0625,0.0,2.0
84,0.19375000894069672,0.10998995322734118,0.6723548173904419,62.75,0.03125,0.0,2.0
85,0.2562500238418579,0.12716036406345665,0.5585593581199646,61.625,0.03125,0.0,2.0
86,0.1937500238418579,0.1362318402971141,0.5230358242988586,57.75,0.03125,0.0,2.0
87,0.3500000238418579,0.08967144147027284,0.6547158360481262,69.65625,0.03125,0.0,2.0
88,0.34999996423721313,0.09982529957778752,0.7100263833999634,58.65625,0.03125,0.0,2.0
89,0.12812501192092896,0.04830238354043104,0.39050889015197754,141.09375,0.03125,0.0,2.0
90,0.13125000894069672,0.1036995294271037,0.6668810248374939,61.0,0.03125,0.0,2.0
91,0.3500000238418579,0.10226450045593083,0.6207224726676941,60.53125,0.03125,0.0,2.0
92,0.3500000238418579,0.08033447145135142,0.6634145379066467,76.15625,0.03125,0.0,2.0
93,0.5062499642372131,0.09035736030273256,0.6045182347297668,90.875,0.03125,0.0,2.0
94,0.5687499642372131,0.0879934054100886,0.6768063306808472,83.09375,0.03125,0.0,2.0
95,0.13125000894069672,0.09709455340635031,0.8099939227104187,69.9375,0.03125,0.0,2.0
96,0.44374996423721313,0.11777523456839845,0.5538174510002136,69.3125,0.03125,0.0,2.0
97,0.2875000238418579,0.08941331517416984,0.5042920112609863,85.1875,0.03125,0.0,2.0
98,0.4750000238418579,0.10018054652027786,0.5323528051376343,83.59375,0.03125,0.0,2.0
99,0.13125000894069672,0.11606222996488214,0.6730115413665771,68.25,0.03125,0.0,2.0
100,0.4125000238418579,0.1234420882537961,0.5739334225654602,73.53125,0.03125,0.0,2.0
