step,critic/score/mean,actor/kl_loss,actor/entropy,response_length/mean,response_length/clip_ratio,response/aborted_ratio,training/num_turns/mean
6,0.21562501788139343,0.0014980109547195752,0.35665345191955566,529.53125,0.125,0.0,2.125
7,0.2718750238418579,0.0017731500736317685,0.332948237657547,494.4375,0.15625,0.0,2.0
8,0.15937502682209015,0.0037057293027373817,0.529995858669281,233.75,0.03125,0.0,2.125
9,0.23750001192092896,0.001219951326561386,0.24328884482383728,555.65625,0.1875,0.0,2.0
10,0.3187500238418579,0.006528100584546337,0.6310132741928101,170.65625,0.03125,0.0,2.0
11,0.24062500894069672,0.002857320061593782,0.37393277883529663,328.6875,0.09375,0.0,2.0
12,0.25312501192092896,0.0035734059615606384,0.56950443983078,297.25,0.03125,0.0,2.0
13,0.3500000238418579,0.005056609435087012,0.6891463994979858,183.15625,0.03125,0.0,2.0
14,0.24687501788139343,0.0036911141573909845,0.38277190923690796,369.65625,0.09375,0.0,2.0
15,0.15937502682209015,0.0059810632692460786,0.5269407629966736,236.1875,0.03125,0.0,2.0
16,0.08750000596046448,0.0015607495338372246,0.3166901767253876,403.28125,0.125,0.0,2.0
17,0.40937498211860657,0.004151125281168788,0.5715312957763672,237.4375,0.03125,0.0,2.0
18,0.2812500298023224,0.003339692062127142,0.35680896043777466,267.34375,0.0625,0.0,2.0
19,0.1562500298023224,0.005081065158265119,0.6767788529396057,178.625,0.03125,0.0,2.0
20,0.11875000596046448,0.003017125275619037,0.48906999826431274,404.28125,0.09375,0.0,2.0
21,0.38124996423721313,0.005853311852661136,0.5399800539016724,151.625,0.03125,0.0,2.0
22,0.22187502682209015,0.004971863794708042,0.5036474466323853,242.53125,0.03125,0.0,2.0
23,0.31874996423721313,0.004296505810998497,0.49139824509620667,252.21875,0.03125,0.0,2.0
24,0.1937500238418579,0.005236739496467635,0.5373777151107788,226.53125,0.03125,0.0,2.0
25,0.5031249523162842,0.0063381516656590975,0.5526493787765503,211.5,0.03125,0.0,2.0
26,0.16250000894069672,0.00894411693661823,0.6187134981155396,183.21875,0.03125,0.0,2.0
27,0.22187502682209015,0.005215610661252867,0.4375920593738556,224.25,0.03125,0.0,2.0
28,0.15625,0.00515215048835671,0.49585676193237305,362.1875,0.0625,0.0,2.0
29,0.31562501192092896,0.007897343322838424,0.657299816608429,157.9375,0.03125,0.0,2.0
30,0.40312498807907104,0.004158815929258708,0.3615836501121521,366.15625,0.09375,0.0,2.0
31,0.2562500238418579,0.008073427366980468,0.645090639591217,138.09375,0.03125,0.0,2.0
32,0.19375000894069672,0.012546359597763512,0.681329607963562,190.46875,0.03125,0.0,2.0
33,0.3500000238418579,0.009099803452045307,0.6237061023712158,176.9375,0.03125,0.0,2.0
34,0.19062502682209015,0.007180385793617461,0.511361837387085,217.375,0.03125,0.0,2.0
35,0.09062500298023224,0.0057385519376111915,0.43221282958984375,281.21875,0.0625,0.0,2.0
36,0.2875000238418579,0.009176930641842773,0.6486341953277588,133.5,0.03125,0.0,2.0
37,0.31562501192092896,0.0050157115947513375,0.4923233389854431,222.28125,0.03125,0.0,2.0
38,0.31562504172325134,0.006783839281524706,0.46063217520713806,201.5,0.03125,0.0,2.0
39,0.22187501192092896,0.006952144211027189,0.44441160559654236,212.53125,0.03125,0.0,2.0
40,0.15937501192092896,0.010702311924433161,0.5338001251220703,195.03125,0.03125,0.0,2.0
41,0.34687504172325134,0.012002027782727964,0.6261967420578003,160.625,0.03125,0.0,2.0
42,0.09687500447034836,0.008644946879940107,0.46598267555236816,201.40625,0.03125,0.0,2.0
43,0.21562501788139343,0.004143111000303179,0.3905389904975891,350.0625,0.09375,0.0,2.0
44,0.47187498211860657,0.007315368518902687,0.522144079208374,229.84375,0.03125,0.0,2.0
45,0.3500000238418579,0.010047098112409003,0.6152166128158569,135.0,0.03125,0.0,2.0
46,0.34999996423721313,0.012798754250979982,0.6858359575271606,150.59375,0.03125,0.0,2.0
47,0.3187500238418579,0.015580097075144295,0.6373022198677063,161.0,0.03125,0.0,2.0
48,0.16250000894069672,0.013873996078473283,0.7027438282966614,150.40625,0.03125,0.0,2.0
49,0.19375000894069672,0.02180882748507429,0.6498962044715881,170.59375,0.03125,0.0,2.0
50,0.47499996423721313,0.014299447553639766,0.6237424612045288,151.34375,0.03125,0.0,2.0
51,0.13125000894069672,0.019436350408795988,0.6451671123504639,138.625,0.03125,0.0,2.0
52,0.25312501192092896,0.01689793881814694,0.427409291267395,245.125,0.03125,0.0,2.0
53,0.16250000894069672,0.019444020945229568,0.7971186637878418,168.75,0.03125,0.0,2.0
54,0.16250000894069672,0.026800160609127488,0.6631696820259094,151.46875,0.03125,0.0,2.0
