step,critic/score/mean,critic/score/min,critic/score/max,actor/kl_loss,actor/loss,actor/entropy,actor/grad_norm,response_length/mean,response_length/clip_ratio,response/aborted_ratio,training/num_turns/mean,timing_s/step,rollout_corr/kl
6,0.21562501788139343,0.0,1.100000023841858,0.0014980109547195752,0.4712033271789551,0.35665345191955566,0.8417705297470093,529.53125,0.125,0.0,2.125,79.85108296759427,0.0006375012453645468
7,0.2718750238418579,0.0,1.100000023841858,0.0017731500736317685,0.5480912923812866,0.332948237657547,0.9901832342147827,494.4375,0.15625,0.0,2.0,47.02965574525297,0.0006285681738518178
8,0.15937502682209015,0.0,1.100000023841858,0.0037057293027373817,-0.04653517156839371,0.529995858669281,1.02591872215271,233.75,0.03125,0.0,2.125,24.831042727455497,0.0006051146192476153
9,0.23750001192092896,0.0,1.100000023841858,0.001219951326561386,0.7256665229797363,0.24328884482383728,2.372150182723999,555.65625,0.1875,0.0,2.0,48.89214755222201,0.0005859789671376348
10,0.3187500238418579,0.10000000149011612,1.100000023841858,0.006528100584546337,0.006781834177672863,0.6310132741928101,0.9029201865196228,170.65625,0.03125,0.0,2.0,44.743851540610194,0.00078342214692384
11,0.24062500894069672,0.0,1.100000023841858,0.002857320061593782,0.810496985912323,0.37393277883529663,1.237087368965149,328.6875,0.09375,0.0,2.0,48.88871065527201,0.0002446713042445481
12,0.25312501192092896,0.0,1.100000023841858,0.0035734059615606384,0.28577494621276855,0.56950443983078,1.1774868965148926,297.25,0.03125,0.0,2.0,44.82494060508907,-0.00010812171967700124
13,0.3500000238418579,0.10000000149011612,1.100000023841858,0.005056609435087012,5.056609552411828e-06,0.6891463994979858,0.0011028770823031664,183.15625,0.03125,0.0,2.0,22.603717720136046,0.0005516725359484553
14,0.24687501788139343,0.0,1.100000023841858,0.0036911141573909845,0.45426174998283386,0.38277190923690796,0.8994983434677124,369.65625,0.09375,0.0,2.0,46.777839336544275,0.0001543951075291261
15,0.15937502682209015,0.0,1.100000023841858,0.0059810632692460786,0.3888578712940216,0.5269407629966736,1.240593671798706,236.1875,0.03125,0.0,2.0,69.54434491507709,0.0006919741863384843
16,0.1250000149011612,0.0,1.100000023841858,0.0020759782346431166,0.617787778377533,0.3786734640598297,1.0651330947875977,285.84375,0.0625,0.0,2.0,80.98475464060903,0.00042328762356191874
17,0.40937498211860657,0.0,1.100000023841858,0.004151125281168788,0.14082837104797363,0.5715312957763672,1.3202542066574097,237.4375,0.03125,0.0,2.0,45.49288993142545,0.00018073395767714828
18,0.2812500298023224,0.0,1.100000023841858,0.003339692062127142,0.44427263736724854,0.35680896043777466,0.8973132967948914,267.34375,0.0625,0.0,2.0,44.971938664093614,0.0008595827384851873
19,0.1562500298023224,0.0,1.100000023841858,0.005081065158265119,0.06744784861803055,0.6767788529396057,1.3520128726959229,178.625,0.03125,0.0,2.0,20.681056754663587,-0.0004220410482957959
20,0.11875000596046448,0.0,1.100000023841858,0.003017125275619037,0.5791764259338379,0.48906999826431274,1.816142201423645,404.28125,0.09375,0.0,2.0,67.49444932676852,0.0007641824777238071
21,0.38124996423721313,0.10000000149011612,1.100000023841858,0.005853311852661136,0.06121760234236717,0.5399800539016724,1.4335198402404785,151.625,0.03125,0.0,2.0,19.520082185044885,0.0005004268023185432
22,0.22187502682209015,0.0,1.100000023841858,0.004971863794708042,0.3375188410282135,0.5036474466323853,1.2605174779891968,242.53125,0.03125,0.0,2.0,44.82491192780435,0.00138518784660846
23,0.31874996423721313,0.10000000149011612,1.100000023841858,0.004296505810998497,-0.0021020006388425827,0.49139824509620667,0.4527694582939148,252.21875,0.03125,0.0,2.0,44.817901864647865,0.000508506316691637
24,0.1937500238418579,0.10000000149011612,1.100000023841858,0.005236739496467635,0.0311129130423069,0.5373777151107788,0.6636710166931152,226.53125,0.03125,0.0,2.0,34.7923624292016,0.0009594589937478304
25,0.5031249523162842,0.0,1.100000023841858,0.0063381516656590975,0.19256559014320374,0.5526493787765503,1.16129732131958,211.5,0.03125,0.0,2.0,69.21837303414941,0.000256244937190786
26,0.16250000894069672,0.10000000149011612,1.100000023841858,0.00894411693661823,-0.009296795353293419,0.6187134981155396,1.0313628911972046,183.21875,0.03125,0.0,2.0,22.69183067791164,0.0007520440267398953
27,0.22187502682209015,0.0,1.100000023841858,0.005215610661252867,0.37715771794319153,0.4375920593738556,0.6508421897888184,224.25,0.03125,0.0,2.0,45.00959069468081,0.0006748855230398476
28,0.15625,0.0,1.100000023841858,0.00515215048835671,0.46865764260292053,0.49585676193237305,1.296196699142456,362.1875,0.0625,0.0,2.0,44.865829419344664,0.0008433498442173004
29,0.31562501192092896,0.0,1.100000023841858,0.007897343322838424,-0.05915232375264168,0.657299816608429,1.7678972482681274,157.9375,0.03125,0.0,2.0,20.683530423790216,0.0009659844217821956
30,0.40312498807907104,0.0,1.100000023841858,0.004158815929258708,0.5802326202392578,0.3615836501121521,1.170125961303711,366.15625,0.09375,0.0,2.0,70.68936201184988,0.0005003016558475792
31,0.2562500238418579,0.10000000149011612,1.100000023841858,0.008073427366980468,0.014264675788581371,0.645090639591217,0.7732416987419128,138.09375,0.03125,0.0,2.0,20.549615059047937,0.000703336379956454
32,0.19375000894069672,0.10000000149011612,1.100000023841858,0.012546359597763512,0.016509324312210083,0.681329607963562,1.1342693567276,190.46875,0.03125,0.0,2.0,22.710783809423447,0.00026071802130900323
33,0.3500000238418579,0.10000000149011612,1.100000023841858,0.009099803452045307,-0.02781171165406704,0.6237061023712158,1.4635123014450073,176.9375,0.03125,0.0,2.0,23.109829746186733,0.00044307182542979717
34,0.19062502682209015,0.0,1.100000023841858,0.007180385793617461,0.39728212356567383,0.511361837387085,1.2785409688949585,217.375,0.03125,0.0,2.0,44.93127077072859,0.0007558359648101032
35,0.09062500298023224,0.0,0.10000000149011612,0.0057385519376111915,0.6382862329483032,0.43221282958984375,0.8592754602432251,281.21875,0.0625,0.0,2.0,70.25680505856872,0.00020275737915653735
36,0.2875000238418579,0.10000000149011612,1.100000023841858,0.009176930641842773,-0.06600192189216614,0.6486341953277588,1.3624444007873535,133.5,0.03125,0.0,2.0,18.712873801589012,0.0014865659177303314
37,0.31562501192092896,0.0,1.100000023841858,0.0050157115947513375,0.40587347745895386,0.4923233389854431,0.7251777052879333,222.28125,0.03125,0.0,2.0,44.67837157845497,0.0004828468372579664
38,0.31562504172325134,0.0,1.100000023841858,0.006783839281524706,0.44843149185180664,0.46063217520713806,1.4876428842544556,201.5,0.03125,0.0,2.0,44.99557724222541,0.0008820894872769713
39,0.22187501192092896,0.0,1.100000023841858,0.006952144211027189,0.4151581823825836,0.44441160559654236,0.6482308506965637,212.53125,0.03125,0.0,2.0,44.851446667686105,8.488385356031358e-05
40,0.15937501192092896,0.0,1.100000023841858,0.010702311924433161,0.45531290769577026,0.5338001251220703,0.9673404693603516,195.03125,0.03125,0.0,2.0,70.23344308324158,0.0006549461977556348
41,0.34687504172325134,0.0,1.100000023841858,0.012002027782727964,0.11751938611268997,0.6261967420578003,1.2687486410140991,160.625,0.03125,0.0,2.0,24.76066697575152,0.00170154869556427
42,0.09687500447034836,0.0,0.10000000149011612,0.008644946879940107,0.4455389380455017,0.46598267555236816,0.5076586604118347,201.40625,0.03125,0.0,2.0,44.96272079460323,0.0001291657390538603
43,0.21562501788139343,0.0,1.100000023841858,0.004143111000303179,0.7504355311393738,0.3905389904975891,0.9114606976509094,350.0625,0.09375,0.0,2.0,46.79624187014997,0.0004859032924287021
44,0.47187498211860657,0.0,1.100000023841858,0.007315368518902687,0.38557329773902893,0.522144079208374,1.2506814002990723,229.84375,0.03125,0.0,2.0,44.92141820862889,0.0006507234065793455
45,0.3500000238418579,0.10000000149011612,1.100000023841858,0.010047098112409003,-0.008901968598365784,0.6152166128158569,1.0155106782913208,135.0,0.03125,0.0,2.0,43.54969706758857,0.0008155385148711503
46,0.34999996423721313,0.10000000149011612,1.100000023841858,0.012798754250979982,-0.01274915412068367,0.6858359575271606,1.3203293085098267,150.59375,0.03125,0.0,2.0,20.857331370934844,0.0006925286143086851
47,0.3187500238418579,0.10000000149011612,1.100000023841858,0.015580097075144295,-0.0421014241874218,0.6373022198677063,1.4374977350234985,161.0,0.03125,0.0,2.0,18.753292379900813,0.0013527957489714026
48,0.16250000894069672,0.10000000149011612,1.100000023841858,0.013873996078473283,-0.015984412282705307,0.7027438282966614,1.2130616903305054,150.40625,0.03125,0.0,2.0,20.73940666206181,-0.0005778708145953715
49,0.19375000894069672,0.10000000149011612,1.100000023841858,0.02180882748507429,0.020918333902955055,0.6498962044715881,1.6618655920028687,170.59375,0.03125,0.0,2.0,25.120613135397434,0.0016877641901373863
50,0.47499996423721313,0.10000000149011612,1.100000023841858,0.014299447553639766,0.031399741768836975,0.6237424612045288,1.8274527788162231,151.34375,0.03125,0.0,2.0,42.756089989095926,0.0002975101233460009
